1,1,1000,50.63
2,1,1500,55
3,1,2000,59.38
4,1,2500,63.75
5,1,5000,76.25
6,1,7500,88.75
7,1,10000,101.25
8,1,12500,109.38
9,1,15000,117.5
10,1,20000,133.75
11,1,25000,150
12,1,30000,161.25
13,1,40000,183.75
14,1,50000,206.25
15,1,75000,256.25
16,1,100000,287.5
17,1,125000,303.13
18,1,150000,318.75
19,1,200000,346.88
20,1,250000,375
21,1,500000,515.63
22,1,1000000,787.5
23,1,1500000,928.13
24,1,2500000,1156.25
25,1,5000000,1656.25
26,1,10000000,2515.63
27,1,25000000,4671.88
28,1,50000000,7562.5
29,2,1000,50.63
30,2,1500,55
31,2,2000,59.38
32,2,2500,63.75
33,2,5000,76.25
34,2,7500,88.75
35,2,10000,101.25
36,2,12500,109.38
37,2,15000,117.5
38,2,20000,133.75
39,2,25000,150
40,2,30000,161.25
41,2,40000,183.75
42,2,50000,206.25
43,2,75000,256.25
44,2,100000,287.5
45,2,125000,303.13
46,2,150000,318.75
47,2,200000,346.88
48,2,250000,375
49,2,500000,515.63
50,2,1000000,787.5
51,2,1500000,928.13
52,2,2500000,1156.25
53,2,5000000,1656.25
54,2,10000000,2515.63
55,2,25000000,4671.88
56,2,50000000,7562.5
57,3,1000,50.63
58,3,1500,55
59,3,2000,59.38
60,3,2500,63.75
61,3,5000,76.25
62,3,7500,88.75
63,3,10000,101.25
64,3,12500,109.38
65,3,15000,117.5
66,3,20000,133.75
67,3,25000,150
68,3,30000,161.25
69,3,40000,183.75
70,3,50000,206.25
71,3,75000,256.25
72,3,100000,287.5
73,3,125000,303.13
74,3,150000,318.75
75,3,200000,346.88
76,3,250000,375
77,3,500000,515.63
78,3,1000000,787.5
79,3,1500000,928.13
80,3,2500000,1156.25
81,3,5000000,1656.25
82,3,10000000,2515.63
83,3,25000000,4671.88
84,3,50000000,7562.5
85,4,1000,50.63
86,4,1500,55
87,4,2000,59.38
88,4,2500,63.75
89,4,5000,76.25
90,4,7500,88.75
91,4,10000,101.25
92,4,12500,109.38
93,4,15000,117.5
94,4,20000,133.75
95,4,25000,150
96,4,30000,161.25
97,4,40000,183.75
98,4,50000,206.25
99,4,75000,256.25
100,4,100000,287.5
101,4,125000,303.13
102,4,150000,318.75
103,4,200000,346.88
104,4,250000,375
105,4,500000,515.63
106,4,1000000,787.5
107,4,1500000,928.13
108,4,2500000,1156.25
109,4,5000000,1656.25
110,4,10000000,2515.63
111,4,25000000,4671.88
112,4,50000000,7562.5
113,5,1000,50.63
114,5,1500,55
115,5,2000,59.38
116,5,2500,63.75
117,5,5000,76.25
118,5,7500,88.75
119,5,10000,101.25
120,5,12500,109.38
121,5,15000,117.5
122,5,20000,133.75
123,5,25000,150
124,5,30000,161.25
125,5,40000,183.75
126,5,50000,206.25
127,5,75000,256.25
128,5,100000,287.5
129,5,125000,303.13
130,5,150000,318.75
131,5,200000,346.88
132,5,250000,375
133,5,500000,515.63
134,5,1000000,787.5
135,5,1500000,928.13
136,5,2500000,1156.25
137,5,5000000,1656.25
138,5,10000000,2515.63
139,5,25000000,4671.88
140,5,50000000,7562.5
141,6,1000,53.75
142,6,1500,58.75
143,6,2000,63.75
144,6,2500,68.75
145,6,5000,82.5
146,6,7500,96.25
147,6,10000,110
148,6,12500,118.75
149,6,15000,127.5
150,6,20000,145
151,6,25000,162.5
152,6,30000,174.5
153,6,40000,198.5
154,6,50000,222.5
155,6,75000,275
156,6,100000,307.5
157,6,125000,323.754
158,6,150000,340
159,6,200000,368.754
160,6,250000,397.5
161,6,500000,541.254
162,6,1000000,817.5
163,6,1500000,961.255
164,6,2500000,1195
165,6,5000000,1707.5
166,6,10000000,2588.754
167,6,25000000,4801.255
168,6,50000000,7770
169,7,1000,56.88
170,7,1500,62.5
171,7,2000,68.13
172,7,2500,73.75
173,7,5000,88.75
174,7,7500,103.75
175,7,10000,118.75
176,7,12500,128.13
177,7,15000,137.5
178,7,20000,156.25
179,7,25000,175
180,7,30000,187.75
181,7,40000,213.25
182,7,50000,238.75
183,7,75000,293.75
184,7,100000,327.5
185,7,125000,344.379
186,7,150000,361.25
187,7,200000,390.629
188,7,250000,420
189,7,500000,566.879
190,7,1000000,847.5
191,7,1500000,994.38
192,7,2500000,1233.75
193,7,5000000,1758.75
194,7,10000000,2661.879
195,7,25000000,4930.63
196,7,50000000,7977.5
197,8,1000,60
198,8,1500,66.25
199,8,2000,72.5
200,8,2500,78.75
201,8,5000,95
202,8,7500,111.25
203,8,10000,127.5
204,8,12500,137.5
205,8,15000,147.5
206,8,20000,167.5
207,8,25000,187.5
208,8,30000,201
209,8,40000,228
210,8,50000,255
211,8,75000,312.5
212,8,100000,347.5
213,8,125000,365.004
214,8,150000,382.5
215,8,200000,412.504
216,8,250000,442.5
217,8,500000,592.504
218,8,1000000,877.5
219,8,1500000,1027.505
220,8,2500000,1272.5
221,8,5000000,1810
222,8,10000000,2735.004
223,8,25000000,5060.005
224,8,50000000,8185
225,9,1000,63.13
226,9,1500,70
227,9,2000,76.88
228,9,2500,83.75
229,9,5000,101.25
230,9,7500,118.75
231,9,10000,136.25
232,9,12500,146.88
233,9,15000,157.5
234,9,20000,178.75
235,9,25000,200
236,9,30000,214.25
237,9,40000,242.75
238,9,50000,271.25
239,9,75000,331.25
240,9,100000,367.5
241,9,125000,385.629
242,9,150000,403.75
243,9,200000,434.379
244,9,250000,465
245,9,500000,618.129
246,9,1000000,907.5
247,9,1500000,1060.63
248,9,2500000,1311.25
249,9,5000000,1861.25
250,9,10000000,2808.129
251,9,25000000,5189.38
252,9,50000000,8392.5
